WOJEWÓDZTWO,KOD STARY,KOD NOWY,NAZWA STACJI,MIEJSCOWOSC,ID,DOSTEPNOSC
DOLNOŚLĄSKIE,DsBogatMob,DsBogatFrancMOB,Bogatynia Mobil,Bogatynia,20000,False
DOLNOŚLĄSKIE,DsCzer02,DsCzerStraza,Czerniawa,Czerniawa,20001,False
DOLNOŚLĄSKIE,DsDzia01,DsDzialoszyn,Działoszyn,Działoszyn,14,True
DOLNOŚLĄSKIE,DsDzierPilsA,DsDziePilsud,Dzierżoniów - Piłsudskiego,Dzierżoniów,16,True
DOLNOŚLĄSKIE,DsGlogWita,DsGlogWiStwo,Głogów - Wita Stwosza,Głogów,20004,False
DOLNOŚLĄSKIE,DsJeleniaGoraA,DsJelGorOgin,Jelenia Góra - Ogińskiego,Jelenia Góra,9153,True
DOLNOŚLĄSKIE,DsJeleniaGoraPM,DsJelGorSoko,Jelenia Góra - Sokoliki,Jelenia Góra,20006,False
DOLNOŚLĄSKIE,DsKlodzkoA,DsKlodzSzkol,Kłodzko - Szkolna,Kłodzko,38,True
DOLNOŚLĄSKIE,DsLegRzeczA,DsLegAlRzecz,Legnica - Rzeczypospolitej,Legnica,52,True
DOLNOŚLĄSKIE,DsNRudaSrebP,DsNowRudSreb,Nowa Ruda - Srebrna,Nowa Ruda,20009,False
DOLNOŚLĄSKIE,DsOlawaSemi,DsOlawZolnAK,Oława - Żołnierzy AK,Oława,70,True
DOLNOŚLĄSKIE,DsOlesnicaPM,DsOlesBrzozo,Oleśnica - Brzozowa,Oleśnica,20011,False
DOLNOŚLĄSKIE,DsOsieczow,DsOsieczow21,Osieczów,Osieczów,74,True
DOLNOŚLĄSKIE,DsPolkKasz,DsPolKasztan,Polkowice - Kasztanowa,Polkowice,20013,False
DOLNOŚLĄSKIE,DsSniezka,DsSniezkaObs,Śnieżka,Karpacz,84,True
DOLNOŚLĄSKIE,DsSwidMob,DsSwidnMarciMOB,Świdnica - Marcinkowskiego,Świdnica,20015,False
DOLNOŚLĄSKIE,DsSwidRynek,DsSwidnRynek,Świdnica - Rynek,Świdnica,20016,False
DOLNOŚLĄSKIE,DsSzczDZPM,DsSzczaKolej,Szczawno-Zdrój - Kolejowa,Szczawno-Zdrój,20017,False
DOLNOŚLĄSKIE,DsWalbWysA,DsWalbrzWyso,Wałbrzych - Wysockiego,Wałbrzych,109,True
DOLNOŚLĄSKIE,DsWrocWisA,DsWrocAlWisn,Wrocław - Wiśniowa,Wrocław,129,True
DOLNOŚLĄSKIE,DsWrocBartA,DsWrocBartni,Wrocław - Bartnicza,Wrocław,114,True
DOLNOŚLĄSKIE,DsWrocGrobla,DsWrocNaGrob,Wrocław - Na Grobli,Wrocław,20021,False
DOLNOŚLĄSKIE,DsWrocOrzech,DsWrocOrzech,Wrocław - Orzechowa,Wrocław,20022,False
DOLNOŚLĄSKIE,DsWrocKorzA,DsWrocWybCon,Wrocław - Korzeniowskiego,Wrocław,117,True
DOLNOŚLĄSKIE,DsZabkowSemi,DsZabkPowWar,Ząbkowice Śląskie,Ząbkowice Śląskie,132,True
DOLNOŚLĄSKIE,DsZgorzBohA,DsZgorBohGet,Zgorzelec - Bohaterów Getta,Zgorzelec,134,True
DOLNOŚLĄSKIE,DsZlotoryjaPM,DsZlotoStasz,Złotoryja - Staszica,Złotoryja,20026,False
KUJAWSKO-POMORSKIE,KpBrodnicaKochanowskiego,KpBrodKochan,"Brodnica, Kochanowskiego",Brodnica,20027,False
KUJAWSKO-POMORSKIE,KpBydgBerlinga,KpBydBerling,"Bydgoszcz, ul. Berlinga",Bydgoszcz,20028,False
KUJAWSKO-POMORSKIE,KpBydgPlPozn,KpBydPlPozna,Bydgoszcz Plac Poznański,Bydgoszcz,156,True
KUJAWSKO-POMORSKIE,KpBydgWarszawska,KpBydWarszaw,Warszawska,Bydgoszcz,20030,False
KUJAWSKO-POMORSKIE,KpCiechoTezniowa,KpCiechTezni,Ciechocinek,Ciechocinek,164,True
KUJAWSKO-POMORSKIE,KpAirpGrudz,KpGrudPilsud,Grudziądz Airpointer,Grudziądz,142,True
KUJAWSKO-POMORSKIE,KpGrudzStar,KpGrudSienki,Grudziądz Starówka,Grudziądz,20033,False
KUJAWSKO-POMORSKIE,KpAirpInowr,KpInowSolank,Inowrocław Airpointer,Inowrocław,143,True
KUJAWSKO-POMORSKIE,KpKoniczZMSP,KpKoniczynka,Koniczynka,Koniczynka,190,True
KUJAWSKO-POMORSKIE,KpNakloPiotraSkargi,KpNaklSkargi,Nakło Piotra Skargi,Nakło nad Notecią,20036,False
KUJAWSKO-POMORSKIE,KpTorunDziewulsk,KpToruDziewu,Toruń POLICJA,Toruń,206,True
KUJAWSKO-POMORSKIE,KpTorunKaszownik,KpToruKaszow,"Toruń, KASZOWNIK",Toruń,208,True
KUJAWSKO-POMORSKIE,KpAirpTorunIMGW,KpToruStorczMOB,"Toruń, ul. Storczykowa",Toruń,20039,False
KUJAWSKO-POMORSKIE,KpTorunRubITALTEL,KpToruSzLubi,"Toruń, ""RUBINKOWO - ITALTEL""",Toruń,20040,False
KUJAWSKO-POMORSKIE,KpAirpTorun,KpToruWSikor,Toruń Airpointer,Toruń,145,True
KUJAWSKO-POMORSKIE,KpAirpWieniec,KpWieniecZdrMOB,"Wieniec Zdrój, ul. Brzozowa",Wieniec Zdrój,20042,False
KUJAWSKO-POMORSKIE,KpAirpWiktorowo,KpWiktorowoG,Lafarge- Airpointer,Wiktorowo,20043,False
KUJAWSKO-POMORSKIE,KpAirpWlocWod,KpWloclChelmMOB,Airpointer Włocławek,Włocławek,20044,False
KUJAWSKO-POMORSKIE,KpWloclOkrzei,KpWloclOkrze,Włocławek OKRZEI,Włocławek,225,True
KUJAWSKO-POMORSKIE,KpWloclSielska,KpWloclSiels,"Włocławek ""Sielska DMD""",Włocławek,20046,False
KUJAWSKO-POMORSKIE,KpZielBoryTuch,KpZielBoryTu,Bory Tucholskie,Zielonka,232,True
KUJAWSKO-POMORSKIE,KpZninPotockiego,KpZninPotock,Żnin Starostwo Potockiego,Żnin,20048,False
LUBELSKIE,LbBialaPOrzechowa,LbBiaPodOrze,WIOŚ-DBP-Orzechowa,Biała Podlaska,20049,False
LUBELSKIE,LbBialySlupRPN_Auto,LbBiaSlupRPN,Biały Słup Automat,Biały Słup,20050,False
LUBELSKIE,LbChelmJagWIOS,LbChelJagiel,Chełm ul. Jagiellońska,Chełm,20051,False
LUBELSKIE,LbJarczew,LbJarczWolaM,IMGW-Jarczew,Jarczew,248,True
LUBELSKIE,LbKrasnikKoszarowa,LbKrasKoszar,Kraśnik ul. Koszarowa 10A,Kraśnik,20053,False
LUBELSKIE,LbLublinWIOS,LbLubObywate,Lublin ul. Obywatelska,Lublin,266,True
LUBELSKIE,LbLublin_Sliwins_5,LbLubSliwins,Lublin Ul. Śliwińskiego 5,Lublin,20055,False
LUBELSKIE,LbPulawySkowieszynska,LbPulaSkowie,Puławy ul. Skowieszyńska,Puławy,20057,False
LUBELSKIE,LbRadzyPSitkowskiego,LbRadzPodSit,WIOŚ-RadzyńP-Sitkowskiego,Radzyń Podlaski,20058,False
LUBELSKIE,LbWilczopole,LbWilczopole,Lublin-Podmiejska,Wilczopole,282,True
LUBELSKIE,LbZamoscHrubieszowsk,LbZamoHrubie,Zamość ul. Hrubieszowska 69A,Zamość,285,True
ŁÓDZKIE,LdBrzeziWIOSMReforma,LdBrzeReform,Brzeziny-Reformacka1,Brzeziny,20061,False
ŁÓDZKIE,LdGajewWIOSAGajew,LdGajewUjWod,Gajew,Gajew,291,True
ŁÓDZKIE,LdKutnoWIOSMKoscius,LdKutnKosciu,Kutno-Kościuszki 26,Kutno,20063,False
ŁÓDZKIE,LdLodzPalki,LdLodzAlPalk,Łódź-Al. Palki/Telefoniczna,Łódź,20064,False
ŁÓDZKIE,LdLodzWIOSACzernik,LdLodzCzerni,Łódź-Widzew,Łódź,295,True
ŁÓDZKIE,LdLodzWIOSAGdanska,LdLodzGdansk,Łódź-Gdańska 16,Łódź,296,True
ŁÓDZKIE,LdLodzWIOSAKilinsk,LdLodzKilins,Łódź-Kilińskiego 102/102a,Łódź,20067,False
ŁÓDZKIE,LdLodzWSSEMLegiono,LdLodzLegion,Łódź-Legionów 1,Łódź,20068,False
ŁÓDZKIE,LdLodzWIOSALipowa,LdLodzLipowa,Łódź-Lipowa,Łódź,20069,False
ŁÓDZKIE,LdLodzWSSEMRudzka,LdLodzRudzka,Łódź-Rudzka60,Łódź,20070,False
ŁÓDZKIE,LdLodzWIOSAZachodn,LdLodzZachod,Łódź-Zachodnia 40,Łódź,20071,False
ŁÓDZKIE,LdLowSienkie,LdLowiczSien,Łowicz-Henryka Sienkiewicza 62,Łowicz,20072,False
ŁÓDZKIE,LdOpocznWIOSMPlKosci,LdOpocPlKosc,Opoczno-Pl Kościuszki 15,Opoczno,20073,False
ŁÓDZKIE,LdPabianWIOSMKilinsk,LdPabiKilins,Pabianice-Kilińskiego 4,Pabianice,20074,False
ŁÓDZKIE,LdPabianWIOSAKonstan,LdPabiKonsta,Pabianice-Polfa,Pabianice,314,True
ŁÓDZKIE,LdParzniWIOSAParznie,LdParzniUjWo,Parzniewice,Parzniewice,319,True
ŁÓDZKIE,LdPiotrkWIOSAKrakPrz,LdPioTrKraPr,Piotrków Tryb.-Krakowskie Przedmieście,Piotrków Trybunalski,322,True
ŁÓDZKIE,LdPiotrkWIOSMSienkie,LdPioTrSienk,PiotrkówTryb.-Sienkiewicza 16,Piotrków Trybunalski,20078,False
ŁÓDZKIE,LdRadomsWIOSMRolna2,LdRadomsRoln,Radomsko-Rolna2,Radomsko,331,True
ŁÓDZKIE,LdRadomsWIOSASokola4,LdRadomsSoko,Radomsko-Sokola4,Radomsko,20080,False
ŁÓDZKIE,LdRawaMaWIOSMNiepodl,LdRawaNiepod,Rawa Mazowiecka-Niepodległości 8,Rawa Mazowiecka,20081,False
ŁÓDZKIE,LdSieradWSSEMGrunwal,LdSierGrunwa,Sieradz-Grunwaldzka 28,Sieradz,20082,False
ŁÓDZKIE,LdSkiernWIOSMKonopni,LdSkierKonop,Skierniewice-Marii Konopnickiej 5,Skierniewice,20083,False
ŁÓDZKIE,LdTomaszWIOSMSwAnton,LdToMaSwAnto,TomaszówMaz.-Św. Antoniego43,Tomaszów Mazowiecki,20084,False
ŁÓDZKIE,LdWielunWIOSMPOW,LdWieluPOW12,Wieluń-POW 12,Wieluń,20085,False
ŁÓDZKIE,LdZdWolaWIOSMKrolews,LdZduWoKrole,ZduńskaWola-Królewska10,Zduńska Wola,20086,False
ŁÓDZKIE,LdZgierzWIOSAMielcza,LdZgieMielcz,Zgierz-Śródmieście,Zgierz,355,True
LUBUSKIE,LuGorzowWIOS_AUT,LuGorzKosGdy,Gorzów Wlkp. ul. Kosynierów Gdyńskich,Gorzów Wielkopolski,361,True
LUBUSKIE,LuGorzowWIOS_MAN,LuGorzPilsud,Gorzów Wlkp. ul. Piłsudskiego,Gorzów Wielkopolski,20089,False
LUBUSKIE,LuSmobytWIOS_AUT,LuSmolBytnic,Smolary Bytnickie,Smolary Bytnickie,374,True
LUBUSKIE,LuSulecWIOS_MOB,LuSulecDudka,Sulęcin ul. Dudka,Sulęcin,376,True
LUBUSKIE,LuWschowWIOS_AUT,LuWsKaziWiel,Wschowa ul. Kazimierza Wielkiego,Wschowa,379,True
LUBUSKIE,LuZaryWIOS_AUT,LuZarySzyman,"Żary, ul. Szymanowskiego 8",Żary,382,True
LUBUSKIE,LuZgoraWIOS_AUT,LuZielKrotka,Zielona Góra ul. Krótka,Zielona Góra,387,True
MAŁOPOLSKIE,MpBochniWIOSKBar0106,MpBochKonfed,"Bochnia, ul. Konfederatów Barskich",Bochnia,20095,False
MAŁOPOLSKIE,MpBukownWIOSKole1206,MpBukowKolejMOB,Bukowno,Bukowno,20096,False
MAŁOPOLSKIE,MpGorlicWIOSKras0511,MpGorlKrasin,"Gorlice, ul. Krasińskiego",Gorlice,20097,False
MAŁOPOLSKIE,MpKetyWIOSWysp1304,MpKetyWyspiaMOB,"Kęty, ul. Wyspiańskiego",Kęty,20098,False
MAŁOPOLSKIE,MpKrakowWIOSAKra6117,MpKrakAlKras,"Kraków, Aleja Krasińskiego",Kraków,400,True
MAŁOPOLSKIE,MpKrakowWIOSBuja6119,MpKrakBujaka,"Kraków, ul. Bujaka",Kraków,401,True
MAŁOPOLSKIE,MpKrakowWIOSBulw6118,MpKrakBulwar,"Kraków, ul. Bulwarowa",Kraków,402,True
MAŁOPOLSKIE,MpLimanoWIOSMBBo0706,MpLimanoBoleMOB,"Limanowa, ul. Matki Bożej Bolesnej",Limanowa,20102,False
MAŁOPOLSKIE,MpMyslenWIOSRyne0907,MpMysleRynekMOB,"Myślenice, Rynek",Myślenice,20103,False
MAŁOPOLSKIE,MpWielicWIOSNiep1904,MpNiepo3Maja,"Niepołomice, ul. 3 Maja",Niepołomice,20104,False
MAŁOPOLSKIE,MpNSaczWIOSNadb6205,MpNoSaczNadb,"Nowy Sącz, ul. Nadbrzeżna",Nowy Sącz,426,True
MAŁOPOLSKIE,MpOlkuszWIOSNull1205,MpOlkuFrNull,"Olkusz, ul. Francesco Nullo",Olkusz,20106,False
MAŁOPOLSKIE,MpSkawinWIOSOsie0606,MpSkawOsOgro,"Skawina, os. Ogrody",Skawina,437,True
MAŁOPOLSKIE,MpSlomniWIOSWoln0611,MpSlomWolnosMOB,"Słomniki, ul. Wolności",Słomniki,20108,False
MAŁOPOLSKIE,MpSuchaBWIOSSemi1513,MpSuchSemika,"Sucha Beskidzka, ul. Semika",Sucha Beskidzka,20109,False
MAŁOPOLSKIE,MpSzarowWIOS1909,MpSzarowSpok,"Szarów, ul. Spokojna",Szarów,9179,True
MAŁOPOLSKIE,MpSzczawWIOSSzal1116,MpSzczawJanaMOB,"Szczawnica, ul. Jana Wiktora",Szczawnica,20111,False
MAŁOPOLSKIE,MpSzymbaWIOS0507,MpSzymbaGorl,Szymbark,Szymbark,443,True
MAŁOPOLSKIE,MpTarnowWIOSBitw6304,MpTarBitStud,"Tarnów, ul. Bitwy pod Studziankami",Tarnów,444,True
MAŁOPOLSKIE,MpTrzebiWIOSZWM0305,MpTrzebOsZWM,"Trzebinia, os. Związku Walki Młodych",Trzebinia,449,True
MAŁOPOLSKIE,MpTuchowWIOSSzop1602,MpTuchChopin,"Tuchów, ul. Chopina",Tuchów,20115,False
MAŁOPOLSKIE,MpZakopaWIOSRown1701,MpZakopaSien,"Zakopane, ul. Sienkiewicza",Zakopane,459,True
MAZOWIECKIE,MzBelskIGFPAN,MzBelsIGFPAN,Belsk-IGFPAN,Belsk Duży,460,True
MAZOWIECKIE,MzGranicaKPN,MzGranicaKPN,Granica-KPN,Granica,466,True
MAZOWIECKIE,MzLegionZegIMGW,MzLegZegrzyn,Legionowo-Zegrzyńska,Legionowo,471,True
MAZOWIECKIE,MzMlawaOrdona,MzMlawOrdona,Mława-Ordona,Mława,20120,False
MAZOWIECKIE,MzOstrolHallera,MzOstroHalle,Ostrołęka-Hallera,Ostrołęka,20121,False
MAZOWIECKIE,MzOtwockBrzoz,MzOtwoBrzozo,Otwock-Brzozowa,Otwock,485,True
MAZOWIECKIE,MzPiastowPulask,MzPiasPulask,Piastów-Pułaskiego,Piastów,488,True
MAZOWIECKIE,MzPlockPKN,MzPlocKroJad,Płock-Gimnazjum,Płock,497,True
MAZOWIECKIE,MzPlockReja,MzPlocMiReja,Płock-Reja,Płock,501,True
MAZOWIECKIE,MzRadomCz,MzRad25Czerw,Radom-Czerwca,Radom,20126,False
MAZOWIECKIE,MzRadomHallera,MzRadHallera,Radom-Hallera,Radom,20127,False
MAZOWIECKIE,MzRadomTochter,MzRadTochter,Radom-Tochtermana,Radom,515,True
MAZOWIECKIE,MzSiedlceKonar,MzSiedKonars,Siedlce-Konarskiego,Siedlce,517,True
MAZOWIECKIE,MzWarszAKrzywon,MzWarAKrzywo,Warszawa-Anieli Krzywoń,Warszawa,20130,False
MAZOWIECKIE,MzWarNiepodKom,MzWarAlNiepo,Warszawa-Komunikacyjna,Warszawa,530,True
MAZOWIECKIE,MzWarTarKondra,MzWarKondrat,Warszawa-Targówek,Warszawa,552,True
MAZOWIECKIE,MzWarszMarsz,MzWarMarszal,Warszawa-Marszałkowska,Warszawa,20133,False
MAZOWIECKIE,MzWarPodIMGW,MzWarPodlesn,Warszawa-Podleśna,Warszawa,531,True
MAZOWIECKIE,MzWarszPorajow,MzWarPorajow,Warszawa-Porajów,Warszawa,20135,False
MAZOWIECKIE,MzWarszPuszSolska,MzWarPuszSol,Warszawa-Puszczy Solskiej,Warszawa,20136,False
MAZOWIECKIE,MzWarszBielany,MzWarTolstoj,Warszawa-Tołstoja,Warszawa,538,True
MAZOWIECKIE,MzWarszUrsynow,MzWarWokalna,Warszawa-Ursynów,Warszawa,550,True
MAZOWIECKIE,MzZyrardRoosevel,MzZyraRoosev,Żyrardów-Roosevelta,Żyrardów,562,True
OPOLSKIE,OpGlub1pyl,OpGlubKochan,Głubczyce manualna 1,Głubczyce,20140,False
OPOLSKIE,OpKkozle1a,OpKKozBSmial,K-Koźle automat 1,Kędzierzyn-Koźle,568,True
OPOLSKIE,OpKlucz2pyl,OpKluczMicki,Kluczbork manualna 2,Kluczbork,20142,False
OPOLSKIE,OpNysa3pyl,OpNysaRodzie,Nysa manualna 3,Nysa,20143,False
OPOLSKIE,OpOlesno4a,OpOlesSlowac,Olesno automat 4,Olesno,584,True
OPOLSKIE,OpOpole3a,OpOpoleMinor,Opole automat 3,Opole,20145,False
OPOLSKIE,OpOpole4pyl,OpOpoleOsAKr,Opole manualna 4,Opole,590,True
OPOLSKIE,OpZdze2a,OpZdziePiast,Zdzieszowice automat 2,Zdzieszowice,600,True
PODLASKIE,PdBialyPodmiejska,PdBialPulPie,Białystok-Podmiejska,Białystok,20148,False
PODLASKIE,PdBialyWarszawska,PdBialWarsza,Białystok-Warszawska,Białystok,609,True
PODLASKIE,PdBialyMiejska,PdBialWaszyn,Białystok-Miejska,Białystok,605,True
PODLASKIE,PdBorsuWiejska,PdBorsukowiz,Borsukowizna-Wiejska,Borsukowizna,612,True
PODLASKIE,PdLomzaSikorskiego,PdLomSikorsk,Lomza Sikorskiego 48/94,Łomża,618,True
